Pcc service | 2020-01-27 21:35:28.635 | PccApplication | No active profile set, falling back to default profiles: default
Pcc service | 2020-01-27 21:35:41.893 | PccApplication | Started PccApplication in 17.328 seconds (JVM running for 18.375)
Pcc service | 2020-01-27 21:35:41.894 | DataLoader | fa com.project.pcc.util.DataLoader
Pcc service | 2020-01-27 21:35:42.106 | PccApplication | start info test
Pcc service | 2020-01-27 21:39:51.243 | PccPayController | pay started
Pcc service | 2020-01-27 21:39:51.245 | PccPayService | validation of pcc request has started
Pcc service | 2020-01-27 21:39:51.245 | PccPayService | validation of pcc request ended successfully
Pcc service | 2020-01-27 21:39:51.245 | PccPayService | The operation of finding bank has started
Pcc service | 2020-01-27 21:39:51.442 | PccPayService | invokation of issuer bank RaifeissenBank Beograd d.o.o with bankPan: 864236 has started
Pcc service | 2020-01-27 21:39:51.442 | PccPayService | invokation of issuer bank with request acquiererOrderId 5401544516, timestamp 2020-01-27 21:39:50.929 amount 50.0
Pcc service | 2020-01-27 21:39:51.965 | PccPayService | invokation of issuer bank has finished
Pcc service | 2020-01-27 21:39:51.965 | PccPayService | Tx invokation of issuer bank with request acquiererOrderId 5401544516, timestamp 2020-01-27 21:39:50.929 amount 50.0, OUTCOME: SUCCESS
Pcc service | 2020-01-27 21:39:51.965 | PccPayController | pay finished sucessfully
Pcc service | 2020-01-27 21:43:59.304 | PccPayController | pay started
Pcc service | 2020-01-27 21:43:59.304 | PccPayService | validation of pcc request has started
Pcc service | 2020-01-27 21:43:59.305 | PccPayService | validation of pcc request ended successfully
Pcc service | 2020-01-27 21:43:59.305 | PccPayService | The operation of finding bank has started
Pcc service | 2020-01-27 21:43:59.311 | PccPayService | invokation of issuer bank RaifeissenBank Beograd d.o.o with bankPan: 864236 has started
Pcc service | 2020-01-27 21:43:59.311 | PccPayService | invokation of issuer bank with request acquiererOrderId 8920620369, timestamp 2020-01-27 21:43:59.278 amount 70.0
Pcc service | 2020-01-27 21:43:59.350 | PccPayService | invokation of issuer bank has finished
Pcc service | 2020-01-27 21:43:59.350 | PccPayService | Tx invokation of issuer bank with request acquiererOrderId 8920620369, timestamp 2020-01-27 21:43:59.278 amount 70.0, OUTCOME: SUCCESS
Pcc service | 2020-01-27 21:43:59.351 | PccPayController | pay finished sucessfully
